speedup,baseline_time,verification_time
1.0779,12.7448,11.8235
1.0910,12.7448,11.6813
1.0652,12.7448,11.9643
1.0265,39.8217,38.7954
1.1951,11.7397,9.8229
1.0448,13.5982,13.0150
1.0585,10.0823,9.5255
1.1410,15.4903,13.5758
1.0444,15.4903,14.8315
1.0115,15.4903,15.3147
1.0173,11.1662,10.9768
1.0188,11.4078,11.1972
1.1639,29.4678,25.3177
1.1431,10.6207,9.2910
1.0828,11.9404,11.0279
1.0577,13.5894,12.8477
1.0567,13.5894,12.8601
1.0935,11.8895,10.8728
1.2434,13.0429,10.4901
1.1256,12.1837,10.8238
1.0971,10.6193,9.6790
1.0165,11.4669,11.2813
1.0117,11.4669,11.3340
1.2308,37.6815,30.6156
1.0663,15.0321,14.0972
1.1305,15.6799,13.8701
1.0898,15.6799,14.3874
1.0860,15.6799,14.4385
1.1096,12.1887,10.9845
1.0305,10.0910,9.7919
1.2747,16.5057,12.9483
1.2380,16.5057,13.3329
1.2290,16.5057,13.4299
1.1508,16.5057,14.3426
1.1285,16.5057,14.6258
1.2104,16.5057,13.6371
1.0004,16.5057,16.4993
1.2379,16.5057,13.3338
1.2226,16.5057,13.5008
1.2079,16.5057,13.6645
1.0788,16.5057,15.2997
1.0393,16.5057,15.8809
1.2332,16.5057,13.3843
1.1105,12.5635,11.3135
1.1027,12.5635,11.3930
1.1584,12.7495,11.0064
1.1150,10.4466,9.3693
1.3336,13.7654,10.3222
1.2854,13.7654,10.7087
1.1222,13.7654,12.2666
1.0762,12.0521,11.1991
1.0603,13.8685,13.0804
1.1456,10.9553,9.5626
6.3066,251.4262,39.8674
5.5445,251.4262,45.3472
1.1464,16.9032,14.7446
1.0555,16.9032,16.0145
1.0536,16.9032,16.0439
1.0511,16.9032,16.0821
1.2109,12.2533,10.1191
1.3090,12.2533,9.3605
1.0477,15.3346,14.6369
1.0435,15.3346,14.6959
1.0062,15.3346,15.2408
1.1897,15.3346,12.8899
1.1305,15.3346,13.5648
1.1226,11.9472,10.6422
1.1087,11.9472,10.7759
1.2414,22.5638,18.1764
1.1772,22.5638,19.1676
1.0752,22.5638,20.9856
