baseline_time,virtual_best_time,grade,chose
7.7988,7.7988,2,baseline
7.7988,7.7988,2,baseline
7.7988,7.7988,2,baseline
7.7988,7.7988,2,baseline
7.7988,7.7988,2,baseline
7.8183,7.8183,2,baseline
7.8183,7.8183,2,baseline
7.8183,7.8183,2,baseline
5.0553,5.0553,2,baseline
4.7232,4.7232,2,baseline
5.0932,5.0932,2,baseline
12.5745,12.5745,2,baseline
12.5745,12.5745,2,baseline
12.5745,12.5745,2,baseline
4.8293,4.8293,2,baseline
4.5579,4.5579,2,baseline
4.5579,4.5579,2,baseline
11.0876,11.0876,2,baseline
11.0876,11.0876,2,baseline
11.0876,11.0876,2,baseline
5.4938,5.4938,2,baseline
15.1458,15.1458,2,baseline
4.5238,4.5238,2,baseline
4.5238,4.5238,2,baseline
4.5238,4.5238,2,baseline
4.4861,4.4861,2,baseline
